"국가별","시점",국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%)
"세계","1990",-,-,-,3446279,3562626,5327231,-,-,-,-
"세계","1991",-,-,-,3538787,3680921,5414289,-,-,-,-
"세계","1992",-,-,-,3769391,3901957,5498920,-,-,-,-
"세계","1993",-,-,-,3637289,3724220,5581598,-,-,-,-
"세계","1994",-,-,-,4140259,4232394,5663150,-,-,-,-
"세계","1995",-,-,-,4945021,5049203,5744213,-,-,752271,-
"세계","1996",-,-,-,5165435,5300397,5824892,-,-,750016,-
"세계","1997",-,-,-,5528373,5645248,5905046,-,-,798945,-
"세계","1998",-,-,-,5445017,5567808,5984794,-,-,777321,-
"세계","1999",-,-,-,5642907,5803282,6064239,-,-,788961,-
"세계","2000",-,-,-,6364100,6578895,6143494,-,-,848925,-
"세계","2001",-,-,-,6138917,6375638,6222627,-,-,851073,-
"세계","2002",-,-,-,6419087,6627146,6301773,-,-,904053,-
"세계","2003",-,-,-,7473815,7708527,6381185,-,-,969915,-
"세계","2004",-,-,-,9095817,9404762,6461159,-,-,1062540,-
"세계","2005",-,-,-,10374073,10708150,6541907,-,-,1147805,-
"세계","2006",-,-,-,11993476,12311615,6623518,-,-,1250098,-
"세계","2007",-,-,-,13830522,14161480,6705947,-,-,1348108,-
"세계","2008",-,-,-,16056261,16349694,6789089,-,-,1343429,-
"세계","2009",-,-,-,12430350,12579062,6872767,-,-,1238749,-
"세계","2010",-,-,-,14806017,15165856,6956824,-,-,1433432,-
"세계","2011",-,-,-,17678342,18103694,7041194,-,-,1538021,-
"세계","2012",-,-,-,17734919,18164661,7125828,-,-,1560494,-
"세계","2013",-,-,-,18193928,18503087,7210582,-,-,1650473,-
"세계","2014",-,-,-,18456711,18667357,7295291,-,-,1671228,-
"세계","2015",-,-,-,16113265,16261857,7379797,-,-,1621626,-
"세계","2016",-,-,-,15610609,15848339,7464022,-,-,1629215,-
"세계","2017",-,-,-,17122566,17499065,7547859,-,-,1732290,-
"세계","2018",-,-,-,19361071,19361071,7631091,-,-,1813730,-
"세계","2019",-,-,-,-,-,7713468,-,-,1868281,-
"세계","2020",-,-,-,-,-,7794799,-,-,-,-
"세계","2021",-,-,-,-,-,7874966,-,-,-,-
"아시아","1990",,,,,,,,,,
"아시아","1991",,,,,,,,,,
"아시아","1992",,,,,,,,,,
"아시아","1993",,,,,,,,,,
"아시아","1994",,,,,,,,,,
"아시아","1995",,,,,,,,,,
"아시아","1996",,,,,,,,,,
"아시아","1997",,,,,,,,,,
"아시아","1998",,,,,,,,,,
"아시아","1999",,,,,,,,,,
"아시아","2000",,,,,,,,,,
"아시아","2001",,,,,,,,,,
"아시아","2002",,,,,,,,,,
"아시아","2003",,,,,,,,,,
"아시아","2004",,,,,,,,,,
"아시아","2005",,,,,,,,,,
"아시아","2006",,,,,,,,,,
"아시아","2007",,,,,,,,,,
"아시아","2008",,,,,,,,,,
"아시아","2009",,,,,,,,,,
"아시아","2010",,,,,,,,,,
"아시아","2011",,,,,,,,,,
"아시아","2012",,,,,,,,,,
"아시아","2013",,,,,,,,,,
"아시아","2014",,,,,,,,,,
"아시아","2015",,,,,,,,,,
"아시아","2016",,,,,,,,,,
"아시아","2017",,,,,,,,,,
"아시아","2018",,,,,,,,,,
"아시아","2019",,,,,,,,,,
"아시아","2020",,,,,,,,,,
"아시아","2021",,,,,,,,,,
"한국","1990",283.3,6608,9.9,65016,69844,42869,2.4,40.6,-,-
